Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1957,25,Female,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,,,
1957,25,Male,0.0,0.0,0.0,0.0,0.0,0.0,801.0,0.0,,,
1957,26,Female,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,,,
1957,26,Male,0.0,0.0,0.0,0.0,0.0,0.0,913.0,0.0,,,
1957,27,Female,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,,,
1957,27,Male,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,,,
1957,28,Female,0.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,,,
1957,28,Male,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,,,
1957,29,Female,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,,,
1957,29,Male,0.0,0.0,0.0,0.0,0.0,0.0,829.0,0.0,,,
1957,30,Female,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,,,
1957,30,Male,0.0,0.0,0.0,0.0,0.0,0.0,769.0,0.0,,,
1957,31,Female,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,,,
1957,31,Male,0.0,0.0,0.0,0.0,0.0,0.0,813.0,0.0,,,
1957,32,Female,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,,,
1957,32,Male,0.0,0.0,0.0,0.0,0.0,0.0,801.0,0.0,,,
1957,33,Female,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,,,
1957,33,Male,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,,,
1957,34,Female,0.0,0.0,0.0,0.0,0.0,0.0,808.0,0.0,,,
1957,34,Male,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,,,
1957,35,Female,0.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,,,
1957,35,Male,0.0,0.0,0.0,0.0,0.0,0.0,951.0,0.0,,,
1957,36,Female,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,,,
1957,36,Male,0.0,0.0,0.0,0.0,0.0,0.0,951.0,0.0,,,
1957,37,Female,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,,,
1957,37,Male,0.0,0.0,0.0,0.0,0.0,0.0,963.0,0.0,,,
1957,38,Female,0.0,0.0,0.0,0.0,0.0,0.0,701.0,0.0,,,
1957,38,Male,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,,,
1957,39,Female,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,,,
